3.74278,11.5579,2.28978,0.761872,-0.283107,0.377045,0.566291,0.793186,-0.374382,-0.157352,-0.851979,0.764218,1.49026,1.525562.28978
2.21731,6.90793,1.30734,0.10257,1,0.103232,-0.567842,-1,0.390446,0.392602,0.171787,0.764677,1.88889,0.5426581.30734
3.10719,9.80107,1.75504,-0.119925,-0.954343,0.985602,-0.948995,0.819937,-0.82677,-0.864377,1,1.49742,3.31388,0.2576241.75504
2.17445,6.78014,1.12974,-0.175653,-0.165982,-0.590126,0.36305,-0.320128,0.000449694,-0.0206101,-0.659822,0.706539,2.67753,0.4231971.12974
1.80136,5.61367,1.17038,0.392211,-0.664455,-0.535669,-0.244439,0.759618,-0.326974,-1,-1,0.708442,3.16097,0.4619371.17038
1.76596,5.60889,1.39467,1,-0.960935,0.310804,0.566281,1,-0.69286,0.570821,0.236008,0.87153,3.12765,0.5231441.39467
1.70965,5.41945,1.15781,-1,0.885227,0.603791,0.436264,0.0384035,0.492113,-1,-0.356127,0.752305,3.0286,0.4055021.15781
3.7029,11.6476,2.00845,-0.521062,0.943465,-0.378412,1,1,-0.963608,-0.576282,-0.742709,0.646117,2.2963,1.362342.00845
1.87795,6.01408,1.48535,0.983127,-0.660715,1,0.150911,-0.508164,-1,0.995215,-1,1.0299,1.62493,0.4554571.48535
3.33588,10.673,1.9887,-0.217796,0.274257,0.208136,0.804845,-0.0713323,-0.90553,0.0716018,0.274753,1.77934,1.40209,0.2093631.9887
1.76118,5.56784,1.1603,0.0635818,-0.907644,-0.066322,-0.37317,-0.413745,0.208831,-0.628205,0.31181,0.739511,2.62879,0.4207861.1603
1.7594,5.52552,1.12885,-0.0463962,-0.999,0.559998,-0.432898,-0.0936814,0.989043,0.134699,-0.121653,0.723805,2.99284,0.4050431.12885
1.89342,5.96878,1.23193,0.268622,-1,0.177758,-1,0.495664,1,-0.320772,-0.330121,0.748659,3.35123,0.483271.23193
1.7667,5.59988,1.28738,0.0589161,-1,-1,0.825106,-0.682957,0.153514,-1,0.19777,0.816264,2.38927,0.4711161.28738
