numParticles,numIterations,Jbest,Time Elapsed,xi1,xi2,xi3,xi4,vi1,vi2,vi3,vi4,t1,deltaE,t2
110,500,1.2471,47.588,0.84238,-0.35509,0.75191,-1,-0.40523,-0.18398,-0.33082,0.46804,0.81937,2.1459,0.42772
110,500,1.0888,45.314,-0.21995,0.52239,0.49168,0.17627,0.077469,0.054723,-0.13286,-0.087746,0.67415,2.8263,0.4146
110,500,1.9042,47.412,-1,0.42165,0.80532,0.8888,-0.50821,0.15385,0.21123,0.3778,1.7093,1.8459,0.19487
110,500,1.47,48.401,0.51985,0.448,0.053935,0.75706,0.85837,-0.30543,-0.52924,-0.50109,0.99426,2.7285,0.47575
110,500,1.0928,45.098,0.059875,0.4056,-1,-0.73025,0.10065,0.17319,0.25541,-0.39208,0.68076,2.9025,0.41207
110,500,1.7313,45.029,0.39563,0.21822,-0.99635,0.18358,-0.27205,-1,-1,-0.49056,0.83663,1.3423,0.89464
110,500,1.9059,47.934,0.35603,-1,0.69428,-1,0.2412,-0.39345,-1,-1,0.73039,1.7967,1.1755
110,500,1.2218,43.288,-1,0.75119,0.57729,-1,0.14368,1,-0.74468,0.99913,0.80774,3.2704,0.41403
110,500,1.0821,43.458,-0.017645,-0.42107,0.91313,-0.12518,0.025283,-0.24724,0.041122,0.76742,0.66977,2.8002,0.41235
110,500,1.093,44.15,0.15168,-0.47226,-0.21254,0.096343,0.29298,-0.41976,-0.41741,-0.0056641,0.67908,2.9234,0.41388
110,500,1.7084,46.226,-1,1,-0.41452,-0.79146,0.86285,0.92315,-0.54996,0.61095,1.1644,4.0575,0.54403
110,500,1.1043,44.198,-0.49984,0.47258,0.71597,-1,-0.012009,0.043376,-1,0.19126,0.69307,2.8649,0.41123
110,500,1.134,45.42,0.27089,-0.31121,-0.04358,-0.45596,0.47708,-0.036413,-0.15504,0.93856,0.68807,3.0659,0.44593
110,500,1.1195,44.061,0.48693,-0.74073,-0.37896,-0.95426,-0.25217,-0.087893,0.28016,-0.10133,0.71165,2.6124,0.4079
110,500,1.09,45.031,0.30207,-0.26576,0.083681,-1,-0.04525,0.18378,0.40945,0.37169,0.68276,2.7593,0.40721
